,Name,Global_Sales,NA_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,index,Year_of_Release,Genre,Publisher,Developer,Rating
4215,Wii Sports,82.53,41.36,3.77,8.45,76.0,51.0,8.0,322.0,0,2006.0,Sports,Nintendo,Nintendo,E
1491,Grand Theft Auto V,56.57000000000001,23.84,1.42,7.8999999999999995,96.8,245.0,8.08,15124.0,16,2013.0,Action,Take-Two Interactive,Rockstar North,M
2087,Mario Kart Wii,35.52,15.68,3.79,3.29,82.0,73.0,8.3,709.0,2,2008.0,Racing,Nintendo,Nintendo,E
4217,Wii Sports Resort,32.77,15.61,3.28,2.95,80.0,73.0,8.0,192.0,3,2009.0,Sports,Nintendo,Nintendo,E
484,Call of Duty: Modern Warfare 3,30.59,15.54,0.62,3.29,81.0,162.0,2.725,20053.0,29,2011.0,Shooter,Activision,"Infinity Ward, Sledgehammer Games",M
2567,New Super Mario Bros.,29.8,11.28,6.5,2.88,89.0,65.0,8.5,431.0,6,2006.0,Platform,Nintendo,Nintendo,E
479,Call of Duty: Black Ops II,29.400000000000002,14.08,0.72,3.76,80.25,136.0,5.300000000000001,5041.0,34,2012.0,Shooter,Activision,Treyarch,M
478,Call of Duty: Black Ops,29.19,16.99,0.59,3.08,82.25,185.0,6.125,2689.0,32,2010.0,Shooter,Activision,Treyarch,M
4213,Wii Play,28.92,13.96,2.93,2.84,58.0,41.0,6.6,129.0,7,2006.0,Misc,Nintendo,Nintendo,E
2570,New Super Mario Bros. Wii,28.32,14.44,4.7,2.24,87.0,80.0,8.4,594.0,8,2009.0,Platform,Nintendo,Nintendo,E
481,Call of Duty: Ghosts,26.7,14.709999999999999,0.48,3.03,73.8,101.0,3.3199999999999994,5684.0,60,2013.0,Shooter,Activision,Infinity Ward,M
483,Call of Duty: Modern Warfare 2,24.95,13.52,0.46,2.9699999999999998,91.33333333333333,207.0,5.6000000000000005,11201.0,36,2009.0,Shooter,Activision,Infinity Ward,M
1494,Grand Theft Auto: San Andreas,23.729999999999997,10.69,0.41,10.7,93.66666666666667,185.0,8.833333333333334,3547.0,17,2004.0,Action,Take-Two Interactive,Rockstar North,M
2086,Mario Kart DS,23.21,9.71,4.13,1.9,91.0,64.0,8.6,464.0,11,2005.0,Racing,Nintendo,Nintendo,E
4207,Wii Fit,22.7,8.92,3.6,2.15,80.0,63.0,7.7,146.0,13,2007.0,Sports,Nintendo,Nintendo,E
1490,Grand Theft Auto IV,22.389999999999997,11.53,0.5800000000000001,2.71,95.33333333333333,190.0,7.333333333333333,8083.0,51,2008.0,Action,Take-Two Interactive,Rockstar North,M
1812,Kinect Adventures!,21.81,15.0,0.24,1.69,61.0,45.0,6.3,106.0,14,2010.0,Misc,Microsoft Game Studios,Good Science Studio,E
4208,Wii Fit Plus,21.79,9.01,2.53,1.77,80.0,33.0,7.4,52.0,15,2009.0,Sports,Nintendo,Nintendo,E
399,Brain Age: Train Your Brain in Minutes a Day,20.15,4.74,4.16,2.04,77.0,58.0,7.9,50.0,19,2005.0,Misc,Nintendo,Nintendo,E
3700,The Elder Scrolls V: Skyrim,19.08,8.76,0.35,2.45,94.0,137.0,7.633333333333333,15189.0,75,2011.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
475,Call of Duty 4: Modern Warfare,18.19,9.989999999999998,0.42000000000000004,2.04,88.75,176.0,8.05,4709.0,70,2007.0,Shooter,Activision,Infinity Ward,M
282,Battlefield 3,17.27,8.200000000000001,0.41,2.23,86.0,156.0,7.466666666666666,8829.0,101,2011.0,Shooter,Electronic Arts,EA DICE,M
1539,Guitar Hero III: Legends of Rock,16.37,11.14,0.04,2.63,83.0,189.0,7.9,413.0,208,2007.0,Misc,Activision,"Neversoft Entertainment, BudCat",T
1495,Grand Theft Auto: Vice City,16.189999999999998,8.41,0.47,1.79,94.5,92.0,8.75,2250.0,24,2002.0,Action,Take-Two Interactive,Rockstar North,M
486,Call of Duty: World at War,15.78,9.29,0.0,1.81,82.0,196.0,7.619999999999999,1808.0,100,2008.0,Shooter,Activision,Treyarch,M
397,Brain Age 2: More Training in Minutes a Day,15.29,3.43,5.32,1.18,77.0,37.0,7.1,19.0,26,2005.0,Puzzle,Nintendo,Nintendo,E
1170,FIFA 14,15.26,2.73,0.19,2.3299999999999996,86.4,132.0,5.040000000000001,2396.0,126,2013.0,Sports,Electronic Arts,EA Canada,E
1891,LEGO Star Wars: The Complete Saga,15.259999999999998,8.950000000000001,0.0,1.56,80.0,68.0,7.1000000000000005,309.0,155,2007.0,Action,LucasArts,Traveller's Tales,E10+
1478,Gran Turismo 3: A-Spec,14.98,6.85,1.87,1.16,95.0,54.0,8.4,314.0,28,2001.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
1183,FIFA Soccer 13,14.92,2.4000000000000004,0.21000000000000002,2.7899999999999996,76.33333333333333,133.0,5.550000000000001,1191.0,81,2012.0,Action,Electronic Arts,Electronic Arts,E
283,Battlefield 4,13.93,6.44,0.4600000000000001,1.61,81.2,110.0,6.18,6698.0,357,2013.0,Shooter,Electronic Arts,EA DICE,M
3821,The Sims 3,13.659999999999998,3.6699999999999995,0.05,1.2300000000000002,73.0,194.0,6.160000000000001,1063.0,85,2009.0,Simulation,Electronic Arts,The Sims Studio,T
477,Call of Duty: Advanced Warfare,13.34,6.180000000000001,0.15000000000000002,1.74,80.66666666666667,110.0,5.2,3477.0,92,2014.0,Shooter,Activision,Sledgehammer Games,M
1489,Grand Theft Auto III,13.11,6.99,0.3,1.3,95.0,76.0,8.45,1469.0,38,2001.0,Action,Take-Two Interactive,DMA Design,M
193,Assassin's Creed III,13.02,6.24,0.19,1.7100000000000002,83.5,149.0,6.725,4208.0,127,2012.0,Action,Ubisoft,Ubisoft,M
3557,Super Smash Bros. Brawl,12.84,6.62,2.66,1.01,93.0,81.0,8.9,1662.0,39,2008.0,Fighting,Nintendo,Game Arts,T
2925,Red Dead Redemption,12.81,6.49,0.26,1.5699999999999998,95.0,169.0,8.9,4772.0,125,2010.0,Action,Take-Two Interactive,Rockstar San Diego,M
1776,Just Dance 3,12.759999999999998,7.75,0.0,1.31,73.0,54.0,7.166666666666667,40.0,61,2011.0,Misc,Ubisoft,Ubisoft,E10+
1205,Fallout 4,12.669999999999998,5.549999999999999,0.25,1.6099999999999999,86.33333333333333,135.0,6.033333333333334,13489.0,105,2015.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
2084,Mario Kart 7,12.66,5.03,2.69,0.91,85.0,73.0,8.2,632.0,40,2011.0,Racing,Nintendo,"Retro Studios, Entertainment Analysis & Development Division",E
125,Animal Crossing: Wild World,12.13,2.5,5.33,0.86,86.0,57.0,8.7,242.0,43,2005.0,Simulation,Nintendo,Nintendo,E
1567,Halo 3,12.12,7.97,0.13,1.21,94.0,86.0,7.8,4100.0,44,2007.0,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M
1172,FIFA 16,12.02,2.0700000000000003,0.06,1.53,82.33333333333333,97.0,4.366666666666666,1651.0,77,2015.0,Sports,Electronic Arts,EA Sports,E
1479,Gran Turismo 4,11.66,3.01,1.1,7.53,89.0,74.0,8.5,272.0,48,2004.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
191,Assassin's Creed II,11.36,5.66,0.29,1.4600000000000002,89.0,174.0,8.1,4118.0,159,2009.0,Action,Ubisoft,Ubisoft Montreal,M
3540,Super Mario Galaxy,11.35,6.06,1.2,0.74,97.0,73.0,8.9,2147.0,49,2007.0,Platform,Nintendo,Nintendo,E
1493,Grand Theft Auto: Liberty City Stories,11.23,4.46,0.31,2.23,83.0,114.0,7.699999999999999,563.0,91,2005.0,Action,Take-Two Interactive,Rockstar Leeds,M
1182,FIFA Soccer 11,11.04,1.7099999999999997,0.09,2.04,80.2,156.0,7.18,507.0,202,2010.0,Sports,Electronic Arts,EA Sports,E
1476,Gran Turismo,10.95,4.02,2.54,0.52,96.0,16.0,8.7,138.0,52,1997.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
3537,Super Mario 3D Land,10.81,4.89,2.14,0.78,90.0,82.0,8.4,921.0,53,2011.0,Platform,Nintendo,Nintendo,E
195,Assassin's Creed IV: Black Flag,10.79,4.6899999999999995,0.2,1.3599999999999999,85.4,115.0,7.840000000000001,4748.0,337,2013.0,Action,Ubisoft,Ubisoft,M
258,Batman: Arkham City,10.74,5.86,0.15,1.32,93.66666666666667,156.0,8.633333333333333,5481.0,164,2011.0,Action,Warner Bros. Interactive Entertainment,Rocksteady Studios,T
1480,Gran Turismo 5,10.7,2.96,0.81,2.11,84.0,82.0,7.5,1112.0,54,2010.0,Racing,Sony Computer Entertainment,Polyphony Digital,E
2544,Need for Speed Underground,10.46,5.260000000000001,0.09,1.1400000000000001,82.0,115.0,8.559999999999999,583.0,102,2003.0,Racing,Electronic Arts,EA Black Box,E
188,Assassin's Creed,10.36,5.1899999999999995,0.16,1.38,81.0,117.0,7.5,1843.0,160,2007.0,Adventure,Ubisoft,Ubisoft Montreal,M
1173,FIFA 17,10.36,1.09,0.08,1.29,84.33333333333333,103.0,4.8999999999999995,759.0,94,2016.0,Sports,Electronic Arts,"EA Sports, EA Vancouver",E
3465,Star Wars: The Force Unleashed,10.05,5.28,0.01,1.87,69.0,164.0,7.033333333333334,797.0,542,2008.0,Action,LucasArts,LucasArts,T
2568,New Super Mario Bros. 2,9.9,3.66,2.47,0.63,78.0,70.0,7.2,424.0,62,2012.0,Platform,Nintendo,Nintendo,E
1574,Halo: Reach,9.86,7.04,0.08,0.79,91.0,99.0,7.9,2045.0,64,2010.0,Shooter,Microsoft Game Studios,Bungie,M
1204,Fallout 3,9.85,5.569999999999999,0.16,1.12,91.33333333333333,189.0,8.133333333333333,6015.0,211,2008.0,Role-Playing,Bethesda Softworks,Bethesda Game Studios,M
2545,Need for Speed Underground 2,9.81,4.51,0.08,1.2200000000000002,75.6,126.0,8.2,604.0,113,2004.0,Racing,Electronic Arts,EA Canada,E
1276,Final Fantasy VII,9.72,3.01,3.28,0.96,92.0,20.0,9.2,1282.0,65,1997.0,Role-Playing,Sony Computer Entertainment,SquareSoft,T
1569,Halo 4,9.71,6.65,0.04,0.74,87.0,87.0,7.0,3260.0,66,2012.0,Shooter,Microsoft Game Studios,343 Industries,M
1882,LEGO Indiana Jones: The Original Adventures,9.569999999999999,5.26,0.0,1.78,77.5,145.0,7.800000000000001,174.0,329,2008.0,Action,Activision,Traveller's Tales,E10+
1477,Gran Turismo 2,9.49,3.88,1.69,0.5,93.0,23.0,9.0,135.0,67,1999.0,Racing,Sony Computer Entertainment,Polyphony Digital,T
1771,Just Dance 2,9.44,5.8,0.01,0.78,74.0,24.0,7.3,24.0,68,2010.0,Misc,Ubisoft,Ubisoft,E10+
2549,Need for Speed: Most Wanted,9.419999999999998,4.869999999999999,0.11,0.8700000000000001,77.5,236.0,8.387500000000001,1528.0,253,2005.0,Racing,Electronic Arts,EA Canada,T
2031,Madden NFL 07,9.180000000000001,7.89,0.03,0.8900000000000001,78.0,197.0,7.512499999999999,250.0,241,2006.0,Sports,Electronic Arts,EA Sports,E
124,Animal Crossing: New Leaf,9.16,2.03,4.39,0.39,88.0,70.0,8.7,626.0,73,2012.0,Simulation,Nintendo,Nintendo,E
201,Assassin's Creed: Revelations,9.15,3.8000000000000003,0.14,1.25,80.0,136.0,7.366666666666667,1948.0,269,2011.0,Action,Ubisoft,Ubisoft Montreal,M
1872,LEGO Batman: The Videogame,9.05,5.249999999999999,0.0,1.33,76.0,112.0,8.059999999999999,202.0,397,2008.0,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,E10+
810,Destiny,9.01,4.630000000000001,0.16,1.23,75.5,106.0,5.8,7115.0,154,2014.0,Shooter,Activision,"Bungie Software, Bungie",T
2145,Medal of Honor: Frontline,8.91,4.390000000000001,0.17,1.07,83.0,63.0,7.766666666666667,174.0,114,2002.0,Shooter,Electronic Arts,EA LA,T
2097,Mario Party DS,8.91,4.4,1.98,0.68,72.0,27.0,7.8,85.0,74,2007.0,Misc,Nintendo,Hudson Soft,E
3768,The Legend of Zelda: Twilight Princess,8.74,4.890000000000001,0.64,0.7200000000000001,95.5,89.0,9.1,2226.0,107,2006.0,Action,Nintendo,Nintendo,T
1777,Just Dance 4,8.739999999999998,5.42,0.0,0.73,73.5,52.0,7.4750000000000005,130.0,116,2012.0,Misc,Ubisoft,Ubisoft,E10+
2946,Resident Evil 5,8.66,4.08,1.2000000000000002,0.99,84.33333333333333,197.0,7.366666666666667,1787.0,199,2009.0,Action,Capcom,Capcom,M
1179,FIFA Soccer 09,8.659999999999998,1.7000000000000002,0.08,2.8600000000000003,83.5,129.0,7.366666666666666,322.0,592,2008.0,Sports,Electronic Arts,EA Canada,E
1178,FIFA Soccer 08,8.629999999999999,1.86,0.04,3.41,77.83333333333333,110.0,6.8500000000000005,231.0,436,2007.0,Sports,Electronic Arts,EA Canada,E
1565,Halo 2,8.58,6.83,0.05,0.1,83.5,123.0,6.8999999999999995,1434.0,78,2004.0,Shooter,Microsoft Game Studios,Bungie Software,M
2139,Medal of Honor,8.58,4.4799999999999995,0.11000000000000001,0.8300000000000001,78.25,170.0,7.300000000000001,1170.0,522,2010.0,Shooter,Electronic Arts,"EA DICE, Danger Close",M
1171,FIFA 15,8.54,1.4,0.05,1.08,82.0,89.0,5.1000000000000005,1718.0,143,2014.0,Sports,Electronic Arts,EA Sports,E
2553,Need for Speed: ProStreet,8.529999999999998,3.3400000000000003,0.09999999999999999,2.5799999999999996,67.0,135.0,6.6571428571428575,361.0,652,2007.0,Racing,Electronic Arts,Black Box,E10+
2808,Pro Evolution Soccer 2008,8.46,0.28,1.3,3.51,79.0,94.0,7.4,175.0,349,2007.0,Sports,Konami Digital Entertainment,Konami,E
835,Diablo III,8.459999999999999,4.0600000000000005,0.15,0.9500000000000001,87.0,171.0,5.666666666666667,10570.0,192,2012.0,Role-Playing,Activision,Blizzard Entertainment,M
1181,FIFA Soccer 10,8.420000000000002,1.5699999999999998,0.07,1.1800000000000002,82.2,163.0,6.6,426.0,352,2009.0,Sports,Electronic Arts,EA Sports,E
4211,Wii Party,8.38,1.75,2.49,0.67,68.0,42.0,7.4,54.0,79,2010.0,Misc,Nintendo,Nd Cube,E
1936,LittleBigPlanet,8.36,3.44,0.18000000000000002,1.54,91.0,153.0,7.3,5409.0,150,2008.0,Platform,Sony Computer Entertainment,"SCE/WWS, Media Molecule",E
1207,Fallout: New Vegas,8.33,4.77,0.14,0.93,83.33333333333333,177.0,8.166666666666666,4015.0,292,2010.0,Role-Playing,Bethesda Softworks,Obsidian Entertainment,M
2094,Mario Party 8,8.27,3.74,1.58,0.7,62.0,41.0,6.3,190.0,80,2007.0,Misc,Nintendo,Hudson,E
2030,Madden NFL 06,8.209999999999999,6.970000000000001,0.01,0.8300000000000001,80.2,121.0,7.4799999999999995,201.0,213,2005.0,Sports,Electronic Arts,EA Sports,E
1549,Guitar Hero: World Tour,8.2,5.199999999999999,0.0,0.8600000000000001,85.0,128.0,7.133333333333333,322.0,351,2008.0,Misc,Activision,Vicarious Visions,T
1278,Final Fantasy X,8.05,2.91,2.73,0.33,92.0,53.0,8.7,1056.0,84,2001.0,Role-Playing,Sony Computer Entertainment,SquareSoft,T
257,Batman: Arkham Asylum,8.030000000000001,4.44,0.09000000000000001,0.97,91.33333333333333,177.0,8.766666666666667,3938.0,267,2009.0,Action,Eidos Interactive,Rocksteady Studios,T
203,Assassin's Creed: Unity,8.01,3.64,0.08,0.99,70.66666666666667,109.0,4.0,4518.0,304,2014.0,Action,Ubisoft,"Ubisoft, Ubisoft Montreal",M
3957,Tony Hawk's Pro Skater 3,7.970000000000001,5.1,0.03,0.5800000000000001,91.6,113.0,8.24,384.0,249,2001.0,Sports,Activision,Neversoft Entertainment,T
1277,Final Fantasy VIII,7.86,2.28,3.63,0.23,90.0,24.0,8.6,644.0,88,1999.0,Role-Playing,SquareSoft,SquareSoft,T
2032,Madden NFL 08,7.859999999999999,6.889999999999999,0.0,0.76,78.0,137.0,6.585714285714286,204.0,597,2007.0,Sports,Electronic Arts,EA Tiburon,E
3698,The Elder Scrolls IV: Oblivion,7.73,4.52,0.27,0.8700000000000001,93.66666666666667,189.0,8.266666666666666,4167.0,251,2006.0,Role-Playing,Take-Two Interactive,Bethesda Softworks,M
2775,Pokémon Platinum Version,7.72,2.76,2.69,0.54,83.0,46.0,8.5,203.0,90,2008.0,Role-Playing,Nintendo,Game Freak,E
3378,Spider-Man 2,7.62,4.74,0.05,0.6900000000000001,72.66666666666667,252.0,7.6000000000000005,196.0,391,2004.0,Action,Activision,Treyarch,T
1879,LEGO Harry Potter: Years 1-4,7.6000000000000005,3.8699999999999997,0.0,0.79,77.6,135.0,7.82,209.0,638,2010.0,Action,Warner Bros. Interactive Entertainment,Traveller's Tales,E10+
3541,Super Mario Galaxy 2,7.51,3.56,0.98,0.62,97.0,87.0,9.1,1854.0,97,2010.0,Platform,Nintendo,Nintendo EAD Tokyo,E
1885,LEGO Marvel Super Heroes,7.490000000000001,3.3699999999999997,0.08,0.8800000000000001,77.66666666666667,100.0,7.416666666666667,671.0,730,2013.0,Action,Warner Bros. Interactive Entertainment,TT Games,E10+
1287,Final Fantasy XIII,7.49,3.02,1.8800000000000001,0.72,82.5,137.0,6.8,3022.0,173,2009.0,Role-Playing,Square Enix,Square Enix,T
4145,WWE SmackDown vs Raw 2008,7.39,3.4,0.02,2.1399999999999997,67.33333333333333,115.0,6.933333333333334,166.0,676,2007.0,Fighting,THQ,Yuke's,T
1538,Guitar Hero II,7.32,5.82,0.0,0.8500000000000001,92.0,124.0,8.3,332.0,196,2006.0,Misc,RedOctane,Harmonix Music Systems,T
1889,LEGO Star Wars II: The Original Trilogy,7.31,5.08,0.01,0.6900000000000001,75.625,179.0,7.9375,251.0,559,2006.0,Action,LucasArts,Traveller's Tales,E10+
1220,Far Cry 3,7.31,2.48,0.12000000000000001,1.07,89.66666666666667,114.0,8.433333333333334,5471.0,401,2012.0,Shooter,Ubisoft,Ubisoft Montreal,M
645,Crash Bandicoot: The Wrath of Cortex,7.24,3.1199999999999997,0.24,0.9099999999999999,66.0,49.0,7.5,197.0,169,2001.0,Platform,Universal Interactive,Traveller's Tales,E
1770,Just Dance,7.2,3.48,0.0,0.73,49.0,21.0,8.0,110.0,103,2009.0,Misc,Ubisoft,Ubisoft Paris,E10+
3636,Tekken 3,7.16,3.27,1.4,0.29,96.0,15.0,9.1,367.0,106,1998.0,Fighting,Sony Computer Entertainment,Namco,T
286,Battlefield: Bad Company 2,7.14,3.62,0.12,0.76,87.66666666666667,180.0,8.466666666666667,2908.0,381,2010.0,Shooter,Electronic Arts,EA DICE,M
642,Crash Bandicoot 3: Warped,7.13,3.68,1.42,0.28,91.0,12.0,8.9,432.0,109,1998.0,Platform,Sony Computer Entertainment,Naughty Dog,E
3499,Street Fighter IV,7.1,3.8499999999999996,0.73,0.78,93.5,138.0,7.3,622.0,280,2009.0,Fighting,Capcom,Capcom,T
2085,Mario Kart 8,7.09,3.15,1.28,0.51,88.0,82.0,9.1,1599.0,110,2014.0,Racing,Nintendo,Nintendo,E
3386,Spider-Man: The Movie,7.07,4.640000000000001,0.04,0.32,77.0,68.0,7.566666666666666,63.0,243,2002.0,Action,Activision,Treyarch,E
3558,Super Smash Bros. Melee,7.07,4.41,1.39,0.22,92.0,38.0,9.1,568.0,111,2001.0,Fighting,Nintendo,HAL Labs,T
482,Call of Duty: Infinite Warfare,7.02,3.1100000000000003,0.15,0.94,76.0,115.0,3.1666666666666665,1859.0,245,2016.0,Shooter,Activision,Infinity Ward,M
3807,The Simpsons Game,7.01,2.52,0.0,1.97,67.0,135.0,7.25,218.0,1249,2007.0,Action,Electronic Arts,Electronic Arts,T
2375,NBA 2K14,6.99,5.13,0.05,0.87,85.5,84.0,5.5,843.0,612,2013.0,Sports,Take-Two Interactive,Visual Concepts,E
200,Assassin's Creed: Brotherhood,6.9,4.870000000000001,0.14,0.63,89.0,164.0,8.233333333333333,2586.0,376,2010.0,Action,Ubisoft,Ubisoft Montreal,M
2046,Madden NFL 2005,6.8999999999999995,6.3100000000000005,0.01,0.19,82.25,103.0,7.7,116.0,238,2004.0,Sports,Electronic Arts,EA Tiburon,E
391,Borderlands 2,6.849999999999999,3.6799999999999997,0.15000000000000002,0.85,83.25,153.0,8.049999999999999,4590.0,459,2012.0,Shooter,Take-Two Interactive,Gearbox Software,M
1415,Gears of War 2,6.75,4.15,0.06,0.64,93.0,90.0,7.7,2739.0,117,2008.0,Shooter,Microsoft Game Studios,Epic Games,M
4063,Uncharted 3: Drake's Deception,6.74,2.77,0.19,1.03,92.0,97.0,8.3,3712.0,118,2011.0,Action,Sony Computer Entertainment,Naughty Dog,T
2147,Medal of Honor: Rising Sun,6.72,3.0700000000000003,0.13,0.8600000000000001,67.0,77.0,6.599999999999999,141.0,193,2003.0,Shooter,Electronic Arts,EA LA,T
277,Battlefield 1,6.71,2.4899999999999998,0.21,0.8400000000000001,87.66666666666667,122.0,8.066666666666668,2386.0,289,2016.0,Shooter,Electronic Arts,EA DICE,M
4062,Uncharted 2: Among Thieves,6.66,3.27,0.21,0.98,96.0,105.0,8.8,5187.0,121,2009.0,Action,Sony Computer Entertainment,Naughty Dog,T
3452,Star Wars: Battlefront II,6.64,4.47,0.04,0.55,78.5,115.0,8.8,916.0,358,2005.0,Shooter,LucasArts,Pandemic Studios,T
314,Big Brain Academy,6.62,1.66,1.6,0.62,74.0,45.0,7.4,27.0,123,2005.0,Misc,Nintendo,Nintendo,E
2033,Madden NFL 09,6.61,5.640000000000001,0.0,0.71,75.75,100.0,6.225,285.0,608,2008.0,Sports,Electronic Arts,EA Tiburon,E
1572,Halo: Combat Evolved,6.47,5.0,0.08,0.07,90.0,108.0,8.0,1679.0,129,2001.0,Shooter,Microsoft Game Studios,Bungie Software,M
3962,Tony Hawk's Underground,6.47,4.11,0.01,0.5,87.5,99.0,8.5,180.0,311,2003.0,Sports,Activision,Neversoft Entertainment,T
913,Donkey Kong Country Returns,6.44,3.17,1.03,0.46,87.0,77.0,8.6,368.0,128,2010.0,Platform,Nintendo,Retro Studios,E
2773,Pokémon Emerald Version,6.41,2.57,2.06,0.21,76.0,28.0,9.0,222.0,131,2004.0,Role-Playing,Nintendo,Game Freak,E
1826,Kingdom Hearts,6.4,3.64,1.49,0.07,85.0,46.0,8.8,597.0,132,2002.0,Role-Playing,Sony Computer Entertainment,SquareSoft,E
3945,Tom Clancy's The Division,6.37,2.8600000000000003,0.15,0.8400000000000001,79.66666666666667,130.0,6.566666666666666,4021.0,325,2016.0,Shooter,Ubisoft,Massive Entertainment,M
2541,Need for Speed Carbon,6.369999999999999,3.54,0.12000000000000001,0.5800000000000001,74.28571428571429,178.0,7.385714285714286,484.0,1113,2006.0,Racing,Electronic Arts,EA Canada,E10+
1568,Halo 3: ODST,6.34,4.34,0.06,0.61,83.0,94.0,7.1,1163.0,134,2009.0,Shooter,Microsoft Game Studios,"Bungie Software, Bungie",M
3544,Super Mario Sunshine,6.31,4.01,0.87,0.17,92.0,61.0,8.6,439.0,136,2002.0,Platform,Nintendo,Nintendo,E
1221,Far Cry 4,6.3,2.08,0.11,0.81,82.33333333333333,115.0,7.3,3100.0,298,2014.0,Shooter,Ubisoft,Ubisoft Montreal,M
4273,World of Warcraft,6.29,0.08,0.0,0.0,93.0,57.0,7.3,2182.0,138,2004.0,Role-Playing,Activision,Blizzard Entertainment,T
994,Driver,6.27,3.11,0.02,0.33,87.0,22.0,8.1,78.0,139,1999.0,Action,GT Interactive,Reflections Interactive,T
2377,NBA 2K16,6.22,4.44,0.03,0.9299999999999999,86.5,65.0,6.45,479.0,314,2015.0,Sports,Take-Two Interactive,Visual Concepts,E10+
1416,Gears of War 3,6.21,4.05,0.07,0.5,91.0,96.0,7.8,1504.0,140,2011.0,Shooter,Microsoft Game Studios,Epic Games,M
4191,Watch Dogs,6.2,2.5199999999999996,0.11,0.8200000000000001,74.25,128.0,5.800000000000001,7158.0,295,2014.0,Action,Ubisoft,Ubisoft Montreal,M
1815,Kinect Sports,6.19,3.92,0.03,0.51,73.0,51.0,7.4,95.0,141,2010.0,Sports,Microsoft Game Studios,Rare Ltd.,E10+
1414,Gears of War,6.109999999999999,3.54,0.07,0.6,90.5,124.0,8.05,2862.0,142,2006.0,Shooter,Microsoft Game Studios,Epic Games,M
3809,The Simpsons: Road Rage,6.09,3.85,0.0,0.46,61.75,70.0,7.625,59.0,355,2001.0,Racing,Electronic Arts,Fox Interactive,T
2228,Michael Jackson: The Experience,6.09,3.7600000000000002,0.01,0.5800000000000001,61.2,111.0,7.18,100.0,254,2010.0,Misc,Ubisoft,"Ubisoft Paris, Ubisoft Montpellier",E10+
501,Carnival Games,6.08,3.33,0.05,0.61,52.0,38.0,4.65,48.0,294,2007.0,Misc,Take-Two Interactive,Cat Daddy Games,E
2493,Namco Museum,6.0600000000000005,4.73,0.05,0.09000000000000001,75.5,19.0,6.65,11.0,266,2001.0,Misc,Namco Bandai Games,Mass Media,E
2189,Metal Gear Solid 2: Sons of Liberty,6.05,2.45,0.87,0.72,96.0,42.0,8.7,1026.0,144,2001.0,Action,Konami Digital Entertainment,KCEJ,M
2188,Metal Gear Solid,6.03,3.18,0.78,0.24,94.0,20.0,9.4,918.0,146,1998.0,Action,Konami Digital Entertainment,KCEJ,M
3936,Tom Clancy's Splinter Cell,6.0,3.25,0.0,0.54,87.0,110.0,8.375,256.0,466,2002.0,Action,Ubisoft,Ubisoft Montreal,T
1496,Grand Theft Auto: Vice City Stories,6.0,2.48,0.19,1.31,80.5,87.0,7.95,217.0,204,2006.0,Action,Take-Two Interactive,Rockstar Leeds,M
3862,The Witcher 3: Wild Hunt,6.0,1.92,0.23,0.75,92.0,124.0,9.233333333333333,24807.0,303,2015.0,Role-Playing,Namco Bandai Games,CD Projekt Red Studio,M
2193,Metal Gear Solid 4: Guns of the Patriots,5.99,2.63,0.83,0.82,94.0,82.0,8.7,3558.0,147,2008.0,Action,Konami Digital Entertainment,Kojima Productions,M
2038,Madden NFL 13,5.96,5.13,0.0,0.44000000000000006,77.0,95.0,6.16,449.0,507,2012.0,Sports,Electronic Arts,EA Tiburon,E
1285,Final Fantasy XII,5.95,1.88,2.33,1.74,92.0,64.0,7.6,972.0,148,2006.0,Role-Playing,Square Enix,Square Enix,T
2035,Madden NFL 10,5.92,5.17,0.0,0.49,82.33333333333333,122.0,6.699999999999999,172.0,514,2009.0,Sports,Electronic Arts,EA Tiburon,E
3780,The Lord of the Rings: The Two Towers,5.91,2.8000000000000003,0.08,0.74,81.0,62.0,8.333333333333332,119.0,228,2002.0,Action,Electronic Arts,Stormfront Studios,T
1588,Harry Potter and the Sorcerer's Stone,5.91,2.5,0.22000000000000003,0.35,61.666666666666664,66.0,7.383333333333333,156.0,332,2001.0,Action,Electronic Arts,Argonaut Games,E
2943,Resident Evil 2,5.88,1.92,2.02,0.45,74.0,28.0,8.85,395.0,151,1998.0,Action,Virgin Interactive,Capcom,M
1868,L.A. Noire,5.87,2.79,0.13999999999999999,0.73,89.0,161.0,7.75,1903.0,433,2011.0,Adventure,Take-Two Interactive,Team Bondi,M
3745,The Last of Us,5.87,2.41,0.28,0.99,95.0,98.0,9.1,8003.0,149,2013.0,Action,Sony Computer Entertainment Europe,Naughty Dog,M
3955,Tony Hawk's Pro Skater 2,5.859999999999999,3.9,0.02,0.22,96.5,35.0,7.6,321.0,227,2000.0,Sports,Activision,Neversoft Entertainment,T
2547,Need for Speed: Hot Pursuit,5.8100000000000005,2.37,0.03,0.78,78.25,154.0,6.1499999999999995,1081.0,536,2010.0,Racing,Electronic Arts,Criterion Games,E10+
