,Name,Global_Sales,NA_Sales,JP_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,index,Year_of_Release,Genre,Publisher,Developer,Rating
590,Colin McRae Rally 2005,0.07,0.04,0.0,0.0,83.0,46.0,7.3,56.0,13307,2004.0,Racing,Codemasters,Codemasters,E
2799,Prince of Persia: The Fallen King,0.07,0.06,0.0,0.0,64.0,24.0,6.0,9.0,12270,2008.0,Action,Ubisoft,Ubisoft,E
555,Cities XL 2012,0.07,0.01,0.0,0.01,61.0,18.0,5.6,95.0,12258,2011.0,Strategy,Focus Home Interactive,Monte Cristo Multimedia,E
663,Crimson Sea 2,0.07,0.03,0.0,0.01,75.0,27.0,8.3,6.0,12051,2004.0,Action,Tecmo Koei,Koei,T
976,Dragon Valor,0.07,0.04,0.0,0.0,57.0,9.0,8.3,10.0,12125,1999.0,Role-Playing,Sony Computer Entertainment,Namco,T
979,Dragoneer's Aria,0.07,0.02,0.05,0.0,56.0,30.0,6.0,7.0,12158,2007.0,Role-Playing,Tecmo Koei,Hit Maker,E10+
3419,Stacked with Daniel Negreanu,0.07,0.04,0.0,0.01,63.0,23.0,5.3,7.0,11905,2006.0,Misc,Myelin Media,5000ft,T
596,Colosseum: Road to Freedom,0.07,0.03,0.0,0.01,56.0,35.0,8.3,17.0,12068,2005.0,Role-Playing,Tecmo Koei,Goshow,M
60,Agatha Christie: And Then There Were None,0.07,0.06,0.0,0.01,50.0,23.0,6.2,12.0,11788,2008.0,Adventure,The Adventure Company,AWE Games,T
3486,Still Life,0.07,0.05,0.0,0.0,70.0,29.0,8.2,5.0,11843,2005.0,Adventure,Microids,Microids,M
4253,World Racing,0.07,0.05,0.0,0.0,56.0,14.0,8.1,8.0,12199,2003.0,Racing,TDK Mediactive,Synetic,E
3027,Rogue Trooper: Quartz Zone Massacre,0.07,0.06,0.0,0.01,70.0,14.0,8.2,5.0,11821,2009.0,Shooter,Reef Entertainment,Rebellion,T
3035,Romance of the Three Kingdoms IX,0.07,0.03,0.0,0.01,74.0,17.0,8.9,10.0,11981,2003.0,Strategy,Tecmo Koei,Koei,E
4173,Warhammer: Battle For Atluma,0.07,0.06,0.0,0.01,55.0,8.0,7.4,8.0,12116,2006.0,Action,Namco Bandai Games,Sabertooth Games,T
2657,Overlord: Minions,0.07,0.07,0.0,0.01,58.0,22.0,5.5,4.0,11870,2009.0,Puzzle,Codemasters,Climax Group,E10+
3039,Romance of the Three Kingdoms XI,0.07,0.0,0.07,0.0,69.0,10.0,8.4,8.0,11888,2007.0,Strategy,Tecmo Koei,Koei,E10+
