Book_Name,author,Url,Average_Rating,Ratings_Count,Categories,Year_Published
The Lovely Bones,Alice Sebold,http://books.google.com/books/content?id=int6DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,72,Drama,2018-11-17
Lovely Bones,Alice Sebold,http://books.google.com/books/content?id=qGpyzQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,4,73,Drama,2020-03-24
The Almost Moon,Alice Sebold,http://books.google.com/books/content?id=wefvcgYFYJMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3,3,Fiction,2007-10-16
The Alchemist by Paulo Coelho Annotated,Paulo Coelho,http://books.google.com/books/content?id=XOS7DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,5,1,Comics & Graphic Novels,101-01-01
Shadow of the Alchemist,Jeri Westerson,http://books.google.com/books/content?id=8SqZCgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,1,Fiction,2015-10-20
Bird by Bird,Anne Lamott,http://books.google.com/books/content?id=dwfGvtzvte4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,128,Language Arts & Disciplines,2007-12-18
The Field Guide to Dumb Birds of North America,Matt Kracht,http://books.google.com/books/content?id=9OtzDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,7,Humor,2019-04-02
The Wind-Up Bird Chronicle,Haruki Murakami,http://books.google.com/books/content?id=A_mQPAqfte8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,180,Fiction,2010-08-11
Yeti and the Bird,Nadia Shireen,http://books.google.com/books/content?id=poveAwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3,1,Juvenile Fiction,2015-02-24
Backyard Birds,Jonathan P. Latimer,http://books.google.com/books/content?id=sH0XNF8jlVQC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,6,Juvenile Nonfiction,1999
Dinosaurs Before Dark,Mary Pope Osborne,http://books.google.com/books/content?id=oDOvQMNmE44C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,24,Juvenile Fiction,2010-06-15
Afternoon on the Amazon,Mary Pope Osborne,http://books.google.com/books/content?id=7gJlPtZno24C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,15,Juvenile Fiction,2010-06-15
Hurricane Heroes in Texas,Mary Pope Osborne,http://books.google.com/books/content?id=DAxIDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,2,Juvenile Fiction,2018-08-07
A Big Day for Baseball,Mary Pope Osborne,http://books.google.com/books/content?id=yJ9-DwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,1,Juvenile Fiction,2019
Ghost Town at Sundown,Mary Pope Osborne,http://books.google.com/books/content?id=v1jusD7McyEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,49,Juvenile Fiction,2010-06-15
Pirates Past Noon,Mary Pope Osborne,http://books.google.com/books/content?id=PsHs8cHszKcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,32,Juvenile Fiction,2010-06-15
Sunset of the Sabertooth,Mary Pope Osborne,http://books.google.com/books/content?id=IZTtKPyQrq8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,3,Juvenile Fiction,2010-06-15
The Magic Tree House Library,Mary Pope Osborne,http://books.google.com/books/content?id=q29mPQAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,4.5,4,Juvenile Fiction,2008-09
Mummies in the Morning,Mary Pope Osborne,http://books.google.com/books/content?id=mN_ALwY3QyAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3,13,Juvenile Fiction,2010-06-15
Midnight on the Moon,Mary Pope Osborne,http://books.google.com/books/content?id=oj1gra6e8D4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4,26,Juvenile Fiction,2010-06-15
Transforming Harry,John Alberti,http://books.google.com/books/content?id=7-ZLDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,2,Performing Arts,2018-05-07
Harry Potter and the Methods of Rationality,LessWrong aka Eliezer Yudkowsky,http://books.google.com/books/content?id=vrPQAwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,4.5,19,Fiction,2010-02-28
Journey,Aaron Becker,http://books.google.com/books/content?id=tQyDngEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,4.5,52,Doors,2014-08-01
My Grieving Journey Book,Donna Shavatt,http://books.google.com/books/content?id=ZIwMA4mjTwEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,5,1,Juvenile Nonfiction,2001
Journey to Nowhere,Mary Jane Auch,http://books.google.com/books/content?id=V8GGDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3,1,Juvenile Fiction,1998-11
The Red Tent,Anita Diamant,http://books.google.com/books/content?id=gjxqQda8S-EC&printsec=frontcover&img=1&zoom=5&source=gbs_api,3.5,3650,Fiction,2009-09-18
Good Harbor,Anita Diamant,http://books.google.com/books/content?id=h_CcBwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,3.5,20,Fiction,2002-10-02
